district,ndvi
Alappuzha,NA
Ernakulam,NA
Idukki,NA
Kannur,NA
Kasaragod,NA
Kollam,NA
Kottayam,NA
Kozhikode,NA
Malappuram,NA
Palakkad,NA
Pathanamthitta,NA
Thiruvananthapuram,NA
Thrissur,NA
Wayanad,NA
