latitude,longitude,brightness,scan,track,acq_date,acq_time,confidence,version,timestamp
22.04769,83.73358,309.15,1.35,1.15,2025-08-09,1544,74,6.1NRT,2025-08-09 15:44:00
23.17127,82.33447,303.01,1.18,1.08,2025-08-09,2144,53,6.1NRT,2025-08-09 21:44:00
23.16941,82.3455,310.23,1.18,1.08,2025-08-09,2144,79,6.1NRT,2025-08-09 21:44:00
22.04274,83.73424,311.53,1.48,1.2,2025-08-09,2144,83,6.1NRT,2025-08-09 21:44:00
21.92365,83.35123,308.04,1.4,1.17,2025-08-09,2144,73,6.1NRT,2025-08-09 21:44:00
23.78016,86.20872,312.25,1.03,1.02,2025-08-10,351,63,6.1NRT,2025-08-10 03:51:00
23.77077,86.2011,309.45,1.03,1.02,2025-08-10,351,53,6.1NRT,2025-08-10 03:51:00
23.68588,86.39906,309.18,1.05,1.02,2025-08-10,351,0,6.1NRT,2025-08-10 03:51:00
23.75849,85.85943,310.85,1.02,1.01,2025-08-10,351,57,6.1NRT,2025-08-10 03:51:00
22.79821,86.21144,326.86,1.05,1.02,2025-08-10,351,71,6.1NRT,2025-08-10 03:51:00
22.80432,86.11129,314.74,1.04,1.02,2025-08-10,351,66,6.1NRT,2025-08-10 03:51:00
22.78927,86.20984,316.55,1.05,1.02,2025-08-10,351,45,6.1NRT,2025-08-10 03:51:00
22.32367,87.40459,314.61,1.19,1.08,2025-08-10,351,58,6.1NRT,2025-08-10 03:51:00
22.04122,83.72981,311.1,1.02,1.01,2025-08-10,351,30,6.1NRT,2025-08-10 03:51:00
21.91747,83.35307,318.37,1.04,1.02,2025-08-10,351,66,6.1NRT,2025-08-10 03:51:00
21.80458,84.03957,316.11,1.01,1.0,2025-08-10,351,61,6.1NRT,2025-08-10 03:51:00
21.6731,84.04492,314.37,1.01,1.0,2025-08-10,351,62,6.1NRT,2025-08-10 03:51:00
20.968,86.0155,317.04,1.07,1.03,2025-08-10,351,56,6.1NRT,2025-08-10 03:51:00
20.95283,86.0538,315.17,1.07,1.03,2025-08-10,351,65,6.1NRT,2025-08-10 03:51:00
21.07691,85.03912,316.07,1.01,1.01,2025-08-10,351,67,6.1NRT,2025-08-10 03:51:00
20.79583,85.26128,315.5,1.02,1.01,2025-08-10,351,47,6.1NRT,2025-08-10 03:51:00
20.76123,85.29829,315.14,1.02,1.01,2025-08-10,351,64,6.1NRT,2025-08-10 03:51:00
20.36366,85.42318,319.22,1.04,1.02,2025-08-10,351,62,6.1NRT,2025-08-10 03:51:00
20.36222,85.43279,315.98,1.04,1.02,2025-08-10,351,47,6.1NRT,2025-08-10 03:51:00
20.39,85.1247,315.58,1.02,1.01,2025-08-10,351,57,6.1NRT,2025-08-10 03:51:00
8.73915,78.07681,320.62,1.38,1.16,2025-08-10,355,73,6.1NRT,2025-08-10 03:55:00
6.83603,81.5278,323.26,1.0,1.0,2025-08-10,357,78,6.1NRT,2025-08-10 03:57:00
6.73245,81.21392,312.22,1.0,1.0,2025-08-10,357,61,6.1NRT,2025-08-10 03:57:00
6.31993,81.2027,314.36,1.0,1.0,2025-08-10,357,65,6.1NRT,2025-08-10 03:57:00
35.30155,93.5556,301.07,1.62,1.25,2025-08-10,347,25,6.1NRT,2025-08-10 03:47:00
22.3562,87.29391,314.3,1.1,1.04,2025-08-10,839,58,6.1NRT,2025-08-10 08:39:00
25.24719,85.8412,313.76,1.18,1.08,2025-08-10,839,60,6.1NRT,2025-08-10 08:39:00
36.94735,80.82745,332.62,1.39,1.17,2025-08-10,841,53,6.1NRT,2025-08-10 08:41:00
25.23238,68.27092,313.96,1.03,1.01,2025-08-10,1624,87,6.1NRT,2025-08-10 16:24:00
7.02917,81.81933,310.69,4.75,1.99,2025-08-11,434,0,6.1NRT,2025-08-11 04:34:00
32.89012,95.26658,314.45,1.83,1.32,2025-08-11,741,19,6.1NRT,2025-08-11 07:41:00
34.12954,95.81139,320.5,1.58,1.24,2025-08-11,741,49,6.1NRT,2025-08-11 07:41:00
