latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.6725,83.11875,333.41,0.61,0.53,2025-04-10,0706,N20,VIIRS,n,2,293.99,18.32,D,0
18.67986,83.13054,339.24,0.61,0.53,2025-04-10,0706,N20,VIIRS,n,2,293.79,12.57,D,0
18.67883,83.12536,340.48,0.61,0.53,2025-04-10,0706,N20,VIIRS,n,2,293.91,12.57,D,0
18.68399,83.12606,339.59,0.61,0.53,2025-04-10,0706,N20,VIIRS,n,2,292.98,11.83,D,0
18.68282,83.12012,334.31,0.61,0.53,2025-04-10,0706,N20,VIIRS,n,2,292.62,11.44,D,0
18.7424,83.29669,341.51,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,298.35,7.41,D,0
18.71,83.10509,331.77,0.61,0.53,2025-04-10,0706,N20,VIIRS,n,2,294.7,10.25,D,0
18.71587,83.1094,343.01,0.61,0.53,2025-04-10,0706,N20,VIIRS,n,2,294.18,14.89,D,0
18.74277,83.29996,340.51,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,297.51,13.2,D,0
18.71393,83.10812,367,0.61,0.53,2025-04-10,0706,N20,VIIRS,h,2,295.52,18.5,D,0
19.0022,84.468,339.75,0.49,0.48,2025-04-10,0706,N20,VIIRS,n,2,299.26,3.82,D,0
18.75332,83.17914,333.4,0.6,0.53,2025-04-10,0706,N20,VIIRS,n,2,294.99,5.28,D,0
18.74544,83.08983,334.21,0.61,0.53,2025-04-10,0706,N20,VIIRS,n,2,295.01,5.92,D,0
18.63426,82.48801,344.49,0.33,0.56,2025-04-10,0706,N20,VIIRS,n,2,300.24,6.88,D,0
18.63358,82.48471,345.19,0.33,0.56,2025-04-10,0706,N20,VIIRS,n,2,301.04,6.27,D,0
18.66265,82.27444,330.19,0.34,0.56,2025-04-10,0706,N20,VIIRS,n,2,297.16,2.44,D,0
19.10921,84.40874,341.84,0.49,0.49,2025-04-10,0706,N20,VIIRS,n,2,301.19,5.2,D,0
18.8496,83.01433,341.78,0.61,0.54,2025-04-10,0706,N20,VIIRS,n,2,298.89,74.33,D,0
18.8482,83.00733,333,0.61,0.54,2025-04-10,0706,N20,VIIRS,n,2,292.14,74.33,D,0
18.52075,81.21977,346.76,0.41,0.6,2025-04-10,0706,N20,VIIRS,n,2,296.06,3.96,D,0
18.54357,81.3023,338.63,0.4,0.6,2025-04-10,0706,N20,VIIRS,n,2,296.98,4.7,D,0
