district,predicted_risk
alappuzha,0.5700684
ernakulam,0.454221
idukki,0.20157081
kannur,0.31006697
kasaragod,0.08368225
kollam,0.06039918
kottayam,0.20157081
kozhikode,0.23139307
malappuram,0.08368225
palakkad,0.31400174
pathanamthitta,0.14465396
thiruvananthapuram,0.11235811
thrissur,0.11235811
wayanad,0.119973436
