month,fire_label,system:index,date,precip_m,temp_2m,u_wind_10m,v_wind_10m,.geo,temp_C,wind_speed
2024-01,2,202401,2024-01,0.0693391123708017,299.8724664998905,-0.8430195537048424,-0.2789742853601538,"{""type"":""MultiPoint"",""coordinates"":[]}",26.722466499890515,0.887980078504535
2024-02,2,202402,2024-02,0.002324137433168,302.1958867362869,-0.3718289033685708,-0.3754343995023896,"{""type"":""MultiPoint"",""coordinates"":[]}",29.045886736286946,0.528401099270236
2024-03,2,202403,2024-03,0.0209787580485369,302.6883287293048,0.7279196576269327,-0.0949527121589475,"{""type"":""MultiPoint"",""coordinates"":[]}",29.53832872930485,0.7340865381588542
2024-04,2,202404,2024-04,0.0493915512331626,303.3587533615008,0.9619374941923672,0.0521384753069721,"{""type"":""MultiPoint"",""coordinates"":[]}",30.20875336150084,0.963349450272551
2024-05,2,202405,2024-05,0.6967068974997291,300.57421834460376,0.7489286522110274,-0.0184307077254868,"{""type"":""MultiPoint"",""coordinates"":[]}",27.424218344603787,0.7491554024966305
2024-06,2,202406,2024-06,0.5382581781455953,298.65740845148173,1.2416597894302372,0.3874000332635645,"{""type"":""MultiPoint"",""coordinates"":[]}",25.50740845148175,1.3006912848407004
2024-07,0,202407,2024-07,0.6716059463162929,298.18550401871966,1.7285705002167622,-0.2609814036163689,"{""type"":""MultiPoint"",""coordinates"":[]}",25.035504018719678,1.7481611102107257
2024-08,2,202408,2024-08,0.2816243173788119,298.51361515939305,1.1007246716253731,0.0428097555884836,"{""type"":""MultiPoint"",""coordinates"":[]}",25.363615159393078,1.1015568427903897
2024-09,1,202409,2024-09,0.17285801232625,298.6939461039583,1.5392046452620427,-0.3739891953690893,"{""type"":""MultiPoint"",""coordinates"":[]}",25.54394610395832,1.5839882759190707
2024-10,2,202410,2024-10,0.2355677923841709,298.6306965164511,0.0844483964284308,0.4707369256568744,"{""type"":""MultiPoint"",""coordinates"":[]}",25.480696516451133,0.4782518006617634
2024-11,1,202411,2024-11,0.095363098875864,299.07902212850234,-0.6383365004157906,-0.3402441436489258,"{""type"":""MultiPoint"",""coordinates"":[]}",25.929022128502368,0.7233530016876059
2024-12,2,202412,2024-12,0.0872382121807229,298.86965232861576,-0.3678699904189341,-0.3633732216759516,"{""type"":""MultiPoint"",""coordinates"":[]}",25.71965232861578,0.5170768106210014
