valid_time,latitude,longitude,2m_temperature_c,2m_dewpoint_temperature_c,relative_humidity_percent,wind_speed_kmh,total_precipitation_mm
2025-07-26 00:00:00,11.700000000000001,75.89999999999995,20.23111,19.895172,97.94265,6.3198023,52.15365
2025-07-26 00:00:00,11.700000000000001,75.99999999999994,20.072906,19.779938,98.20158,6.9485784,44.55066
2025-07-26 00:00:00,11.700000000000001,76.09999999999994,20.735016,20.541656,98.815765,8.368365,32.39578
2025-07-26 00:00:00,11.700000000000001,76.19999999999993,20.461578,20.285797,98.92067,9.685379,21.893143
2025-07-26 00:00:00,11.700000000000001,76.29999999999993,19.694,19.334625,97.7916,10.646194,17.081768
2025-07-26 00:00:00,11.700000000000001,76.39999999999992,19.602203,19.0065,96.360275,11.9673395,13.005286
2025-07-26 00:00:00,11.700000000000001,76.49999999999991,19.492828,18.59439,94.551125,13.162247,9.1789665
2025-07-26 00:00:00,11.700000000000001,76.59999999999991,20.13736,18.742828,91.69473,13.284384,6.887853
2025-07-26 00:00:00,11.700000000000001,76.6999999999999,20.934235,18.91861,88.26208,13.5550785,4.971594
2025-07-26 00:00:00,11.700000000000001,76.7999999999999,21.252594,18.785797,85.838615,14.057046,3.418386
2025-07-26 00:00:00,11.700000000000001,76.89999999999989,21.264313,18.35611,83.50084,12.417298,2.695471
2025-07-26 00:00:00,11.700000000000001,77.0,20.91861,17.492828,80.784325,10.365897,2.0304024
2025-07-26 00:00:00,11.600000000000001,75.59999999999997,24.244781,23.66275,96.563,12.264554,49.190434
2025-07-26 00:00:00,11.600000000000001,75.69999999999996,24.336578,23.963531,97.78651,9.163754,52.002014
2025-07-26 00:00:00,11.600000000000001,75.79999999999995,23.285797,22.961578,98.05868,6.799071,52.868576
2025-07-26 00:00:00,11.600000000000001,75.89999999999995,21.51236,21.141266,97.75123,6.0674906,52.85084
2025-07-26 00:00:00,11.600000000000001,75.99999999999994,20.352203,20.029938,98.02745,6.4832544,45.243176
2025-07-26 00:00:00,11.600000000000001,76.09999999999994,20.067047,19.846344,98.64246,7.7793546,33.08472
2025-07-26 00:00:00,11.600000000000001,76.19999999999993,19.551422,19.434235,99.27433,8.453715,25.682657
