latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
66.56539,155.33026,328.96,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,298.94,17.54,D
66.56583,155.30988,353.17,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,308.87,36.09,D
66.56608,155.43893,355.44,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,305.64,19.97,D
66.5664,155.3159,347.92,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,306.79,17.54,D
66.56814,155.31749,338.31,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,303.04,36.09,D
66.5684,155.4467,339.87,0.42,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,298.15,19.97,D
66.56871,155.32365,339.63,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,304.45,17.54,D
66.56873,155.55394,334.77,0.42,0.45,2025-07-31,35,N20,VIIRS,n,2.0NRT,298.47,5.9,D
66.57108,155.3316,340.8,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,313.71,50.75,D
66.57154,155.31116,355.1,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,316.25,36.09,D
66.57209,155.31723,351.32,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,307.44,33.92,D
66.5729,155.33325,340.47,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,300.47,30.3,D
66.5732,155.30322,338.34,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,305.45,33.92,D
66.57385,155.31883,351.4,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,307.93,30.3,D
66.57441,155.32506,367.0,0.43,0.46,2025-07-31,35,N20,VIIRS,h,2.0NRT,310.52,24.86,D
66.57494,155.30486,354.84,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,308.13,24.95,D
66.57549,155.3109,367.0,0.43,0.46,2025-07-31,35,N20,VIIRS,h,2.0NRT,311.52,33.92,D
66.57623,155.32669,355.9,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,306.32,30.3,D
